artist,song,duration_ms,year,top half,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,explicit,explicity binary
Jeezy,Soul Survivor,280013,2005,1,0.684,0.493,10,-7.728,1,0.0459,0.000839,0.0,0.157,0.08,84.03,"hip hop, pop",True,1
Eminem,Mockingbird,250760,2004,1,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,hip hop,True,1
Shakira,La Tortura (feat. Alejandro Sanz),212893,2005,1,0.74,0.783,0,-5.367,1,0.0427,0.0297,0.000308,0.123,0.812,100.011,"pop, latin",False,0
Gorillaz,DARE,244999,2005,1,0.76,0.891,11,-5.852,0,0.0372,0.0229,0.0869,0.298,0.966,120.264,hip hop,False,0
Snoop Dogg,Signs,236813,2004,0,0.94,0.713,7,-5.308,1,0.127,0.0319,0.00076,0.325,0.666,112.955,"hip hop, pop",True,1
Robbie Williams,Tripping,276603,2005,1,0.666,0.922,2,-4.458,0,0.0429,0.0381,0.000191,0.0633,0.828,118.014,"pop, rock",False,0
David Banner,Play,230133,2005,0,0.837,0.658,1,-8.013,0,0.126,0.000213,0.122,0.243,0.586,95.027,"hip hop, pop",True,1
Trillville,Some Cut,283454,2004,0,0.9,0.515,1,-6.626,1,0.372,0.00341,0.0,0.111,0.659,84.995,"hip hop, pop",True,1
D4L,Laffy Taffy,224253,2005,1,0.891,0.439,7,-7.994,0,0.428,0.0351,0.0,0.0932,0.622,77.499,"hip hop, pop",True,1
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),226863,2005,1,0.904,0.813,4,-7.105,0,0.121,0.0311,0.00697,0.0471,0.81,125.461,"hip hop, pop, R&B",True,1
Rob Thomas,Lonely No More,226640,2005,1,0.551,0.896,9,-3.152,0,0.109,0.033,0.0,0.0899,0.858,171.79,"pop, Folk/Acoustic",False,0
Brian McFadden,Almost Here,229826,2004,0,0.561,0.452,9,-7.324,0,0.0336,0.409,0.0,0.106,0.316,77.984,set(),False,0
Bobby V.,"Slow Down - 12"" Version",258666,2005,1,0.568,0.732,11,-4.896,0,0.103,0.179,4.92e-06,0.401,0.626,186.048,"hip hop, pop, R&B",False,0
Backstreet Boys,Incomplete,239586,2005,1,0.437,0.589,4,-4.834,1,0.0331,0.231,0.0,0.0768,0.165,133.631,pop,False,0
Pretty Ricky,Grind With Me,237733,2005,1,0.7,0.538,1,-5.952,1,0.045,0.000204,0.0,0.105,0.189,136.518,"hip hop, pop, R&B",True,1
